ROI_name	hemisphere	structure	label	AreaDescription	region	network	network_ID
Thal_Pulvinar_inferior_L	L	subcortex	Thal-PuI	Thal Pulvinar inferior	Thalamus	Subcortical	99.0
Thal_Pulvinar_lateral_L	L	subcortex	Thal-PuL	Thal Pulvinar lateral	Thalamus	Subcortical	99.0
Thal_Pulvinar_medial_L	L	subcortex	Thal-PuM	Thal Pulvinar medial	Thalamus	Subcortical	99.0
Thal_Ventral_Anterior_L	L	subcortex	Thal-VA	Thal Ventral Anterior	Thalamus	Subcortical	99.0
Thal_Ventral_Lateral_Anterior_L	L	subcortex	Thal-VLa	Thal Ventral Lateral Anterior	Thalamus	Subcortical	99.0
Thal_Ventral_Lateral_Posterior_L	L	subcortex	Thal-VLp	Thal Ventral Lateral Posterior	Thalamus	Subcortical	99.0
Thal_Ventral_posterolateral_L	L	subcortex	Thal-VPL	Thal Ventral posterolateral	Thalamus	Subcortical	99.0
Putamen_L	L	subcortex	Put	Putamen	Basal_Ganglia	Subcortical	99.0
Caudate_L	L	subcortex	Cau	Caudate	Basal_Ganglia	Subcortical	99.0
Nucleus_Accumbens_L	L	subcortex	NAcc	Nucleus Accumbens	Basal_Ganglia	Subcortical	99.0
Globus_pallidus_externalis_L	L	subcortex	GPe	Globus pallidus externalis	Basal_Ganglia	Subcortical	99.0
Globus_pallidus_internalis_L	L	subcortex	GPi	Globus pallidus internalis	Basal_Ganglia	Subcortical	99.0
Amygdala_L	L	subcortex	Amy	Amygdala	Amygdala	Subcortical	99.0
Substantia_nigra_pars_compacta_L	L	subcortex	SNc	Substantia nigra pars compacta	Midbrain	Subcortical	99.0
Substantia_nigra_pars_reticulata_L	L	subcortex	SNr	Substantia nigra pars reticulata	Midbrain	Subcortical	99.0
Ventral_tegmenta_area_L	L	subcortex	VTA	Ventral tegmenta area	Midbrain	Subcortical	99.0
Mammillary_bodies_L	L	subcortex	MamBod	Mammillary bodies	Subcortical_Limbic	Subcortical	99.0
Septal_nucleus_L	L	subcortex	Sep	Septal nucleus	Subcortical_Limbic	Subcortical	99.0
Nuclei_basal_L	L	subcortex	BasNuc	Nuclei basal	Subcortical_Limbic	Subcortical	99.0
Thal_AnteroventralNucleus_R	R	subcortex	Thal-AV	Thal AnteroventralNucleus	Thalamus	Subcortical	99.0
Thal_Central_medial_R	R	subcortex	Thal-CM	Thal Central medial	Thalamus	Subcortical	99.0
Thal_Central_lateral_R	R	subcortex	Thal-CL	Thal Central lateral	Thalamus	Subcortical	99.0
Thal_Centralmedian_R	R	subcortex	Thal-CeM	Thal Centralmedian	Thalamus	Subcortical	99.0
Thal_Laterodorsal_R	R	subcortex	Thal-LD	Thal Laterodorsal	Thalamus	Subcortical	99.0
Thal_Lateral_Geniculate_R	R	subcortex	Thal-LGN	Thal Lateral Geniculate	Thalamus	Subcortical	99.0
