roi_name	lesion_only_score	multilayer_behaviour_score	predicted	residual	residual_z
ContB_OFC_2_L	651.353689	1428327.355611	3453373.708137	-2025046.352526	-0.57001
ContB_OFC_3_L	651.353689	1428327.355611	3453373.708137	-2025046.352526	-0.57001
ContB_PCC_1_L	651.353689	1428327.355611	3453373.708137	-2025046.352526	-0.57001
ContB_PFCd_1_L	679.099427	748495.284575	3512950.204551	-2764454.919976	-0.778139
ContB_PFCmp_1_L	2224.916667	3721194.657877	6832176.215253	-3110981.557376	-0.875679
ContB_Temp_1_L	527.357266	522380.34539	3187124.799918	-2664744.454528	-0.750072
ContB_Temp_2_L	527.357266	522380.34539	3187124.799918	-2664744.454528	-0.750072
ContC_Cingp_1_L	651.353689	2774243.592502	3453373.708137	-679130.115635	-0.191162
ContC_Cingp_2_L	1004.944502	1428327.355611	4212614.705898	-2784287.350287	-0.783721
ContC_FPole_1_L	651.353689	1029736.264619	3453373.708137	-2423637.443518	-0.682205
ContC_Ins_1_L	651.353689	1428327.355611	3453373.708137	-2025046.352526	-0.57001
ContC_PFCm_1_L	651.353689	1029736.264619	3453373.708137	-2423637.443518	-0.682205
ContC_PFCm_2_L	651.353689	1428327.355611	3453373.708137	-2025046.352526	-0.57001
ContC_PHC_1_L	651.353689	2774243.592502	3453373.708137	-679130.115635	-0.191162
ContC_pCun_1_L	689.205819	748495.284575	3534650.958257	-2786155.673682	-0.784247
ContC_pCun_2_L	651.353689	1428327.355611	3453373.708137	-2025046.352526	-0.57001
SalVenAttnA_FrMed_1_L	2224.916667	3721194.657877	6832176.215253	-3110981.557376	-0.875679
SalVenAttnA_FrMed_2_L	679.099427	2403256.148591	3512950.204551	-1109694.05596	-0.312357
SalVenAttnA_FrOper_1_L	1587.416802	748495.284575	5463317.026099	-4714821.741524	-1.327128
SalVenAttnA_IPL_1_L	527.357266	522380.34539	3187124.799918	-2664744.454528	-0.750072
SalVenAttnA_Ins_1_L	1587.416802	748495.284575	5463317.026099	-4714821.741524	-1.327128
SalVenAttnA_Ins_2_L	689.205819	1428327.355611	3534650.958257	-2106323.602646	-0.592888
SalVenAttnA_Ins_3_L	1587.416802	1428327.355611	5463317.026099	-4034989.670488	-1.135769
SalVenAttnA_PFCd_1_L	679.099427	2403256.148591	3512950.204551	-1109694.05596	-0.312357
SalVenAttnA_SPL_1_L	2099.90204	1428327.355611	6563740.988294	-5135413.632683	-1.445516
SalVenAttnA_SPL_2_L	1004.944502	1428327.355611	4212614.705898	-2784287.350287	-0.783721
SalVenAttnA_SPL_3_L	1004.944502	1428327.355611	4212614.705898	-2784287.350287	-0.783721
SalVenAttnB_IFG_1_L	1587.416802	748495.284575	5463317.026099	-4714821.741524	-1.327128
SalVenAttnB_IPL_1_L	679.099427	1428327.355611	3512950.204551	-2084622.84894	-0.58678
SalVenAttnB_IPL_2_L	679.099427	2774243.592502	3512950.204551	-738706.612049	-0.207931
SalVenAttnB_Ins_1_L	1587.416802	748495.284575	5463317.026099	-4714821.741524	-1.327128
SalVenAttnB_Ins_2_L	1587.416802	748495.284575	5463317.026099	-4714821.741524	-1.327128
SalVenAttnB_OFC_1_L	679.099427	1428327.355611	3512950.204551	-2084622.84894	-0.58678
SalVenAttnB_OFC_2_L	679.099427	1428327.355611	3512950.204551	-2084622.84894	-0.58678
SalVenAttnB_PFCl_1_L	1587.416802	3721194.657877	5463317.026099	-1742122.368222	-0.490373
SalVenAttnB_PFCl_2_L	2224.916667	1029736.264619	6832176.215253	-5802439.950634	-1.633271
