roi_index	roi_name	slope	intercept	population_residual	r_squared
275	ContC_OFC_2_R	0.151824	0.073511	0.166713	0.001738
276	ContC_PCC_1_R	-0.690769	0.091658	0.164848	0.023952
277	ContC_PFCl_1_R	-0.21521	0.106199	0.163025	0.045416
278	ContC_PFCl_2_R	-0.223158	0.114744	0.160068	0.079731
279	ContC_PFCl_3_R	-0.029845	0.079807	0.166818	0.000483
280	ContC_PFCm_1_R	0.011977	0.075924	0.166851	9.5e-05
281	ContC_PFCm_2_R	0.022651	0.07557	0.166842	0.0002
282	ContC_PFCm_3_R	0.071784	0.067208	0.166358	0.005985
283	ContC_pCun_1_R	-0.21894	0.099766	0.162871	0.047227
284	SalVenAttnA_FrMed_1_R	-0.129797	0.095546	0.165421	0.017154
285	SalVenAttnA_FrMed_2_R	-0.054516	0.085421	0.166567	0.003496
286	SalVenAttnA_FrMed_3_R	-0.208283	0.095549	0.164896	0.023385
287	SalVenAttnA_FrOper_1_R	-0.297936	0.11048	0.159006	0.091903
288	SalVenAttnA_FrOper_2_R	-0.362335	0.111454	0.159079	0.091077
289	SalVenAttnA_IPL_1_R	-0.316126	0.112164	0.158744	0.094893
290	SalVenAttnA_IPL_2_R	-0.470465	0.102825	0.160832	0.070935
291	SalVenAttnA_Ins_1_R	-0.186634	0.114695	0.159858	0.082148
292	SalVenAttnA_Ins_2_R	-0.281634	0.116326	0.158711	0.095268
293	SalVenAttnA_Ins_3_R	-0.279387	0.106545	0.160135	0.078965
294	SalVenAttnA_PFCmp_1_R	-0.077627	0.087053	0.166377	0.005767
295	SalVenAttnA_SPL_1_R	-0.41897	0.10006	0.162903	0.046845
296	SalVenAttnA_SPL_2_R	-0.312917	0.097453	0.164029	0.033622
297	SalVenAttnB_IFG_1_R	-0.220755	0.114487	0.158617	0.096347
298	SalVenAttnB_IPL_1_R	-0.397797	0.104978	0.160322	0.07681
299	SalVenAttnB_IPL_2_R	-0.310791	0.111158	0.158874	0.093412
300	SalVenAttnB_IPL_3_R	-0.405267	0.11097	0.158955	0.092484
301	SalVenAttnB_Ins_1_R	-0.235499	0.115883	0.158566	0.096927
302	SalVenAttnB_Ins_2_R	-0.544811	0.108119	0.159715	0.083792
303	SalVenAttnB_Ins_3_R	-0.164518	0.110541	0.159526	0.085961
304	SalVenAttnB_OFC_1_R	-0.440742	0.098829	0.16314	0.044074
305	SalVenAttnB_PFCd_1_R	-0.200398	0.099953	0.164396	0.029293
306	SalVenAttnB_PFCl_1_R	-0.238388	0.113643	0.159558	0.085589
307	SalVenAttnB_PFCl_2_R	-0.23175	0.10236	0.164038	0.033518
308	SalVenAttnB_PFCl_3_R	-0.313698	0.116056	0.157879	0.104736
309	SalVenAttnB_SPL_1_R	-0.310915	0.099396	0.163475	0.040147
310	SalVenAttnB_Temp_1_R	-0.425112	0.115002	0.15808	0.102451
311	SalVenAttnB_Temp_2_R	-0.256914	0.109397	0.159481	0.086469
312	DorsAttnA_IPS_1_R	-0.362684	0.108463	0.159485	0.086425
313	DorsAttnA_IPS_2_R	-0.249685	0.11196	0.158753	0.094791
314	DorsAttnA_PrCd_1_R	-0.204807	0.115961	0.159453	0.08679
