block	n_nodes	observed_score	p_value
0	27	32394.781919	1.0
1	58	0.0	1.0
2	11	196297.699455	0.742574
3	25	111398.875327	1.0
4	44	77850.945006	1.0
5	18	475951.214944	0.009901
6	15	38030.990319	1.0
7	44	54247.411	1.0
8	28	185065.399941	0.831683
9	66	66878.704307	1.0
10	27	187210.944624	0.831683
11	17	205591.144471	0.663366
12	20	396609.29565	0.009901
