block	n_nodes	observed_score	p_value
0	21	694024.872143	0.762376
1	45	0.0	1.0
2	51	159120.017505	1.0
3	18	58519.104991	1.0
4	18	385983.953343	1.0
5	25	172670.22492	1.0
6	15	1624189.171667	0.019802
7	21	405524.261852	0.990099
8	86	79319.207853	1.0
9	25	113558.486489	1.0
10	22	1592984.953818	0.019802
11	53	466818.007784	0.980198
