roi_name	lesion_only_score	multilayer_behaviour_score	predicted	residual	residual_z
ContB_Temp_2_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
ContC_Cingp_1_L	641.873847	32394.781919	78143.869801	-45749.087882	-0.517551
ContC_Cingp_2_L	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
ContC_FPole_1_L	641.873847	32394.781919	78143.869801	-45749.087882	-0.517551
ContC_Ins_1_L	641.873847	38030.990319	78143.869801	-40112.879482	-0.45379
ContC_PFCm_1_L	641.873847	32394.781919	78143.869801	-45749.087882	-0.517551
ContC_PFCm_2_L	641.873847	32394.781919	78143.869801	-45749.087882	-0.517551
ContC_PHC_1_L	641.873847	32394.781919	78143.869801	-45749.087882	-0.517551
ContC_pCun_1_L	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
ContC_pCun_2_L	641.873847	77850.945006	78143.869801	-292.924795	-0.003314
SalVenAttnA_FrMed_1_L	2123.997392	196297.699455	269014.501589	-72716.802134	-0.822632
SalVenAttnA_FrMed_2_L	1130.581804	54247.411	141080.591121	-86833.180121	-0.982328
SalVenAttnA_FrOper_1_L	1681.5	54247.411	212028.862936	-157781.451936	-1.784953
SalVenAttnA_IPL_1_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
SalVenAttnA_Ins_1_L	1681.5	54247.411	212028.862936	-157781.451936	-1.784953
SalVenAttnA_Ins_2_L	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
SalVenAttnA_Ins_3_L	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
SalVenAttnA_PFCd_1_L	1130.581804	54247.411	141080.591121	-86833.180121	-0.982328
SalVenAttnA_SPL_1_L	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
SalVenAttnA_SPL_2_L	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
SalVenAttnA_SPL_3_L	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
SalVenAttnB_IFG_1_L	1681.5	54247.411	212028.862936	-157781.451936	-1.784953
SalVenAttnB_IPL_1_L	1130.581804	77850.945006	141080.591121	-63229.646115	-0.715305
SalVenAttnB_IPL_2_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
SalVenAttnB_Ins_1_L	1681.5	54247.411	212028.862936	-157781.451936	-1.784953
SalVenAttnB_Ins_2_L	1681.5	54247.411	212028.862936	-157781.451936	-1.784953
SalVenAttnB_OFC_1_L	641.873847	38030.990319	78143.869801	-40112.879482	-0.45379
SalVenAttnB_OFC_2_L	507.847444	66878.704307	60883.69989	5995.004417	0.06782
SalVenAttnB_PFCl_1_L	1681.5	54247.411	212028.862936	-157781.451936	-1.784953
SalVenAttnB_PFCl_2_L	2123.997392	196297.699455	269014.501589	-72716.802134	-0.822632
SalVenAttnB_PFCl_3_L	1681.5	54247.411	212028.862936	-157781.451936	-1.784953
SalVenAttnB_PFCmp_1_L	2123.997392	32394.781919	269014.501589	-236619.71967	-2.676835
SalVenAttnB_SPL_1_L	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
SalVenAttnB_Temp_1_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
DorsAttnA_IPL_1_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
DorsAttnA_IPL_2_L	305.978228	0.0	34886.606107	-34886.606107	-0.394666
DorsAttnA_IPS_1_L	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
DorsAttnA_IPS_2_L	667.434661	66878.704307	81435.639056	-14556.934749	-0.16468
DorsAttnA_IPS_3_L	955.973837	66878.704307	118594.251781	-51715.547474	-0.585048
DorsAttnA_IPS_4_L	305.978228	0.0	34886.606107	-34886.606107	-0.394666
DorsAttnA_PFCd_1_L	1130.581804	54247.411	141080.591121	-86833.180121	-0.982328
DorsAttnA_PrCd_1_L	1130.581804	54247.411	141080.591121	-86833.180121	-0.982328
DorsAttnA_PrCv_1_L	1681.5	54247.411	212028.862936	-157781.451936	-1.784953
DorsAttnA_SPL_1_L	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
DorsAttnA_SPL_2_L	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
DorsAttnA_TempOcc_1_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
DorsAttnA_TempOcc_2_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
DorsAttnA_TempOcc_3_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
DorsAttnA_TempPole_1_L	305.978228	77850.945006	34886.606107	42964.338899	0.486048
DorsAttnA_TempPole_2_L	507.847444	66878.704307	60883.69989	5995.004417	0.06782
DorsAttnB_FrMed_1_L	1130.581804	54247.411	141080.591121	-86833.180121	-0.982328
DorsAttnB_ParOper_1_L	667.434661	0.0	81435.639056	-81435.639056	-0.921266
DorsAttnB_PostC_1_L	507.847444	66878.704307	60883.69989	5995.004417	0.06782
DorsAttnB_PostC_2_L	667.434661	54247.411	81435.639056	-27188.228056	-0.307575
DorsAttnB_PostC_3_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
DorsAttnB_PrCd_1_L	1130.581804	54247.411	141080.591121	-86833.180121	-0.982328
DorsAttnB_PrCd_2_L	1130.581804	54247.411	141080.591121	-86833.180121	-0.982328
DorsAttnB_PrCv_1_L	1130.581804	54247.411	141080.591121	-86833.180121	-0.982328
DorsAttnB_SPL_1_L	305.978228	54247.411	34886.606107	19360.804893	0.219025
DorsAttnB_SPL_2_L	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
DorsAttnB_SPL_3_L	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
DorsAttnB_SPL_4_L	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
Aud_Ins_1_L	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
Aud_ParOcc_1_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
Aud_ST_1_L	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
Aud_ST_2_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
Aud_ST_3_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
Aud_ST_4_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
Aud_ST_5_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
Aud_ST_6_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
Aud_ST_7_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
Aud_TempPole_1_L	305.978228	54247.411	34886.606107	19360.804893	0.219025
SomMotA_ParOper_1_L	305.978228	0.0	34886.606107	-34886.606107	-0.394666
SomMotA_1_L	1130.581804	77850.945006	141080.591121	-63229.646115	-0.715305
SomMotA_2_L	1130.581804	54247.411	141080.591121	-86833.180121	-0.982328
SomMotA_3_L	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
