roi_name	Foreperiod_Long_tau_p_raw	Foreperiod_Long_tau_p_fdr	GoNoGo_tau_p_raw	GoNoGo_tau_p_fdr	SATO_Accuracy_tau_p_raw	SATO_Accuracy_tau_p_fdr
SomMotB_ParOper_1_L	0.663366	0.749566	0.465347	0.878012	0.811881	0.954918
SomMotB_ParOper_1_R	0.425743	0.743336	0.60396	0.92766	0.148515	0.606183
SomMotB_ParOper_2_L	0.415842	0.743336	0.405941	0.836991	0.633663	0.954918
SomMotB_ParOper_2_R	0.316832	0.743336	0.069307	0.803157	0.079208	0.344382
VisualA_ExStr_10_L	0.465347	0.743336	0.287129	0.803157	0.574257	0.954918
VisualA_ExStr_10_R	0.49505	0.743336	0.178218	0.803157	0.009901	0.282885
VisualA_ExStr_11_L	0.534653	0.743336	0.683168	0.92766	0.722772	0.954918
VisualA_ExStr_11_R	0.653465	0.749566	0.138614	0.803157	0.019802	0.282885
VisualA_ExStr_12_R	0.653465	0.749566	0.623762	0.92766	0.029703	0.282885
VisualA_ExStr_1_L	0.633663	0.748331	0.405941	0.836991	0.524752	0.954918
VisualA_ExStr_1_R	0.445545	0.743336	0.207921	0.803157	0.019802	0.282885
VisualA_ExStr_2_L	0.564356	0.743336	0.376238	0.825965	0.653465	0.954918
VisualA_ExStr_2_R	0.366337	0.743336	0.118812	0.803157	0.059406	0.308602
VisualA_ExStr_3_L	0.485149	0.743336	0.257426	0.803157	0.475248	0.954918
VisualA_ExStr_3_R	0.445545	0.743336	0.158416	0.803157	0.19802	0.769009
VisualA_ExStr_4_L	0.158416	0.743336	0.039604	0.803157	0.752475	0.954918
VisualA_ExStr_4_R	0.584158	0.743336	0.316832	0.806747	0.069307	0.334009
VisualA_ExStr_5_L	0.554455	0.743336	0.663366	0.92766	0.663366	0.954918
VisualA_ExStr_5_R	0.455446	0.743336	0.148515	0.803157	0.227723	0.820623
VisualA_ExStr_6_L	0.138614	0.743336	0.257426	0.803157	0.594059	0.954918
VisualA_ExStr_6_R	0.50495	0.743336	0.277228	0.803157	0.039604	0.282885
VisualA_ExStr_7_L	0.465347	0.743336	0.683168	0.92766	0.673267	0.954918
VisualA_ExStr_7_R	0.39604	0.743336	0.188119	0.803157	0.039604	0.282885
