roi_name	Foreperiod_Long_tau_p_raw	Foreperiod_Long_tau_p_fdr	GoNoGo_tau_p_raw	GoNoGo_tau_p_fdr	SATO_Accuracy_tau_p_raw	SATO_Accuracy_tau_p_fdr
DefaultC_IPL_3_R	0.336634	0.743336	0.039604	0.803157	0.029703	0.282885
DefaultC_PFCd_1_L	0.70297	0.750932	0.712871	0.92766	0.950495	0.960096
DefaultC_PFCd_1_R	0.128713	0.743336	0.326733	0.806747	0.425743	0.954918
DefaultC_PFCd_2_L	0.712871	0.750932	0.811881	0.952791	0.80198	0.954918
DefaultC_PHC_1_L	0.722772	0.750932	0.564356	0.92766	0.841584	0.954918
DefaultC_PHC_1_R	0.544554	0.743336	0.50495	0.922284	0.039604	0.282885
DefaultC_PHC_2_L	0.405941	0.743336	0.257426	0.803157	0.049505	0.291206
DefaultC_PHC_2_R	0.336634	0.743336	0.60396	0.92766	0.079208	0.344382
DefaultC_RSC_1_L	0.623762	0.748331	0.653465	0.92766	0.673267	0.954918
DefaultC_RSC_1_R	0.306931	0.743336	0.455446	0.871666	0.247525	0.839067
DefaultC_RSC_2_L	0.405941	0.743336	0.683168	0.92766	0.732673	0.954918
DefaultC_RSC_2_R	0.376238	0.743336	0.554455	0.92766	0.386139	0.954312
DefaultC_RSC_3_L	0.425743	0.743336	0.70297	0.92766	0.485149	0.954918
DefaultC_RSC_3_R	0.366337	0.743336	0.485149	0.90682	0.336634	0.948264
DefaultC_pCun_1_L	0.584158	0.743336	0.425743	0.854203	0.029703	0.282885
DefaultC_pCun_1_R	0.435644	0.743336	0.49505	0.916758	0.415842	0.954918
DefaultC_pCun_2_L	0.178218	0.743336	0.683168	0.92766	0.653465	0.954918
DefaultC_pCun_2_R	0.405941	0.743336	0.514851	0.92766	0.445545	0.954918
DefaultC_pCun_3_L	0.455446	0.743336	0.683168	0.92766	0.762376	0.954918
DorsAttnA_IPL_1_L	0.554455	0.743336	0.732673	0.92766	0.039604	0.282885
DorsAttnA_IPL_2_L	0.485149	0.743336	0.772277	0.92766	0.613861	0.954918
DorsAttnA_IPS_1_L	0.524752	0.743336	0.306931	0.806747	0.792079	0.954918
DorsAttnA_IPS_1_R	0.336634	0.743336	0.039604	0.803157	0.029703	0.282885
DorsAttnA_IPS_2_L	0.485149	0.743336	0.356436	0.824129	0.752475	0.954918
DorsAttnA_IPS_2_R	0.336634	0.743336	0.049505	0.803157	0.029703	0.282885
DorsAttnA_IPS_3_L	0.643564	0.748331	0.356436	0.824129	0.673267	0.954918
DorsAttnA_IPS_4_L	0.138614	0.743336	0.732673	0.92766	0.673267	0.954918
DorsAttnA_PFCd_1_L	0.653465	0.749566	0.990099	0.99258	0.910891	0.954918
DorsAttnA_PrCd_1_L	0.722772	0.750932	0.970297	0.99258	0.881188	0.954918
DorsAttnA_PrCd_1_R	0.148515	0.743336	0.069307	0.803157	0.336634	0.948264
DorsAttnA_PrCv_1_L	0.544554	0.743336	0.980198	0.99258	0.90099	0.954918
DorsAttnA_PrCv_1_R	0.118812	0.743336	0.029703	0.803157	0.326733	0.948264
DorsAttnA_SPL_1_L	0.643564	0.748331	0.39604	0.833768	0.792079	0.954918
DorsAttnA_SPL_1_R	0.277228	0.743336	0.19802	0.803157	0.574257	0.954918
DorsAttnA_SPL_2_L	0.554455	0.743336	0.376238	0.825965	0.811881	0.954918
DorsAttnA_SPL_2_R	0.594059	0.743336	0.178218	0.803157	0.49505	0.954918
DorsAttnA_SPL_3_R	0.554455	0.743336	0.316832	0.806747	0.356436	0.954312
DorsAttnA_SPL_4_R	0.445545	0.743336	0.19802	0.803157	0.772277	0.954918
DorsAttnA_TempOcc_1_L	0.435644	0.743336	0.772277	0.92766	0.693069	0.954918
DorsAttnA_TempOcc_1_R	0.415842	0.743336	0.207921	0.803157	0.039604	0.282885
DorsAttnA_TempOcc_2_L	0.465347	0.743336	0.772277	0.92766	0.712871	0.954918
DorsAttnA_TempOcc_2_R	0.39604	0.743336	0.207921	0.803157	0.039604	0.282885
DorsAttnA_TempOcc_3_L	0.435644	0.743336	0.762376	0.92766	0.70297	0.954918
DorsAttnA_TempPole_1_L	0.148515	0.743336	0.326733	0.806747	0.574257	0.954918
DorsAttnA_TempPole_1_R	0.524752	0.743336	0.762376	0.92766	0.544554	0.954918
DorsAttnA_TempPole_2_L	0.485149	0.743336	0.287129	0.803157	0.534653	0.954918
DorsAttnB_FrMed_1_L	0.70297	0.750932	0.980198	0.99258	0.891089	0.954918
DorsAttnB_IPL_1_R	0.227723	0.743336	0.049505	0.803157	0.049505	0.291206
DorsAttnB_IPL_2_R	0.356436	0.743336	0.188119	0.803157	0.079208	0.344382
DorsAttnB_ParOper_1_L	0.485149	0.743336	0.732673	0.92766	0.623762	0.954918
DorsAttnB_PostC_1_L	0.524752	0.743336	0.386139	0.825965	0.059406	0.308602
DorsAttnB_PostC_1_R	0.227723	0.743336	0.257426	0.803157	0.029703	0.282885
DorsAttnB_PostC_2_L	0.554455	0.743336	0.435644	0.854203	0.623762	0.954918
DorsAttnB_PostC_2_R	0.346535	0.743336	0.108911	0.803157	0.089109	0.375195
DorsAttnB_PostC_3_L	0.594059	0.743336	0.732673	0.92766	0.574257	0.954918
DorsAttnB_PostC_3_R	0.316832	0.743336	0.188119	0.803157	0.049505	0.291206
DorsAttnB_PrCd_1_L	0.732673	0.753392	0.970297	0.99258	0.90099	0.954918
DorsAttnB_PrCd_1_R	0.60396	0.743336	0.732673	0.92766	0.594059	0.954918
DorsAttnB_PrCd_2_L	0.722772	0.750932	0.990099	0.99258	0.881188	0.954918
DorsAttnB_PrCd_2_R	0.613861	0.746336	0.742574	0.92766	0.60396	0.954918
DorsAttnB_PrCd_3_R	0.623762	0.748331	0.732673	0.92766	0.683168	0.954918
DorsAttnB_PrCv_1_L	0.554455	0.743336	0.940594	0.99258	0.940594	0.954918
DorsAttnB_PrCv_1_R	0.09901	0.743336	0.029703	0.803157	0.277228	0.908943
DorsAttnB_SPL_1_L	0.485149	0.743336	0.435644	0.854203	0.079208	0.344382
DorsAttnB_SPL_1_R	0.277228	0.743336	0.217822	0.803157	0.059406	0.308602
DorsAttnB_SPL_2_L	0.732673	0.753392	0.386139	0.825965	0.831683	0.954918
DorsAttnB_SPL_2_R	0.287129	0.743336	0.188119	0.803157	0.19802	0.769009
DorsAttnB_SPL_3_L	0.722772	0.750932	0.445545	0.865135	0.831683	0.954918
DorsAttnB_SPL_3_R	0.336634	0.743336	0.247525	0.803157	0.247525	0.839067
DorsAttnB_SPL_4_L	0.70297	0.750932	0.366337	0.825965	0.80198	0.954918
Language_IFG_1_L	0.594059	0.743336	0.990099	0.99258	0.940594	0.954918
Language_IFG_1_R	0.108911	0.743336	0.257426	0.803157	0.990099	0.990099
Language_IFG_2_L	0.544554	0.743336	0.980198	0.99258	0.920792	0.954918
Language_IPL_1_L	0.50495	0.743336	0.643564	0.92766	0.633663	0.954918
Language_PFCd_1_L	0.712871	0.750932	0.693069	0.92766	0.920792	0.954918
Language_PFCd_1_R	0.138614	0.743336	0.316832	0.806747	0.435644	0.954918
Language_PFCd_2_L	0.346535	0.743336	0.881188	0.984568	0.762376	0.954918
Language_PFCl_1_L	0.554455	0.743336	0.990099	0.99258	0.920792	0.954918
Language_PFCl_1_R	0.188119	0.743336	0.089109	0.803157	0.39604	0.954312
Language_PFCl_2_R	0.158416	0.743336	0.257426	0.803157	0.366337	0.954312
Language_TempPole_1_L	0.455446	0.743336	0.772277	0.92766	0.693069	0.954918
Language_TempPole_1_R	0.386139	0.743336	0.168317	0.803157	0.039604	0.282885
Language_TempPole_2_R	0.60396	0.743336	0.237624	0.803157	0.039604	0.282885
Language_Temp_1_L	0.445545	0.743336	0.693069	0.92766	0.683168	0.954918
Language_Temp_1_R	0.366337	0.743336	0.138614	0.803157	0.069307	0.334009
Language_Temp_2_L	0.445545	0.743336	0.70297	0.92766	0.663366	0.954918
Language_Temp_2_R	0.643564	0.748331	0.356436	0.824129	0.029703	0.282885
Language_Temp_3_L	0.544554	0.743336	0.712871	0.92766	0.50495	0.954918
SalVenAttnA_FrMed_1_L	0.693069	0.750932	0.80198	0.946289	0.811881	0.954918
SalVenAttnA_FrMed_1_R	0.673267	0.750159	0.742574	0.92766	0.712871	0.954918
SalVenAttnA_FrMed_2_L	0.772277	0.780078	0.970297	0.99258	0.861386	0.954918
SalVenAttnA_FrMed_2_R	0.485149	0.743336	0.920792	0.99258	0.881188	0.954918
SalVenAttnA_FrMed_3_R	0.425743	0.743336	0.742574	0.92766	0.70297	0.954918
SalVenAttnA_FrOper_1_L	0.544554	0.743336	0.970297	0.99258	0.910891	0.954918
SalVenAttnA_FrOper_1_R	0.069307	0.743336	0.029703	0.803157	0.227723	0.820623
SalVenAttnA_FrOper_2_R	0.118812	0.743336	0.049505	0.803157	0.326733	0.948264
SalVenAttnA_IPL_1_L	0.376238	0.743336	0.673267	0.92766	0.663366	0.954918
SalVenAttnA_IPL_1_R	0.29703	0.743336	0.118812	0.803157	0.059406	0.308602
SalVenAttnA_IPL_2_R	0.247525	0.743336	0.069307	0.803157	0.019802	0.282885
SalVenAttnA_Ins_1_L	0.564356	0.743336	0.980198	0.99258	0.920792	0.954918
SalVenAttnA_Ins_1_R	0.108911	0.743336	0.059406	0.803157	0.366337	0.954312
SalVenAttnA_Ins_2_L	0.752475	0.769796	0.564356	0.92766	0.881188	0.954918
SalVenAttnA_Ins_2_R	0.09901	0.743336	0.059406	0.803157	0.356436	0.954312
SalVenAttnA_Ins_3_L	0.772277	0.780078	0.594059	0.92766	0.841584	0.954918
SalVenAttnA_Ins_3_R	0.643564	0.748331	0.287129	0.803157	0.059406	0.308602
SalVenAttnA_PFCd_1_L	0.732673	0.753392	0.990099	0.99258	0.90099	0.954918
SalVenAttnA_PFCmp_1_R	0.356436	0.743336	0.782178	0.931165	0.772277	0.954918
SalVenAttnA_SPL_1_L	0.584158	0.743336	0.564356	0.92766	0.742574	0.954918
SalVenAttnA_SPL_1_R	0.574257	0.743336	0.158416	0.803157	0.316832	0.948264
SalVenAttnA_SPL_2_L	0.633663	0.748331	0.376238	0.825965	0.851485	0.954918
SalVenAttnA_SPL_2_R	0.544554	0.743336	0.227723	0.803157	0.227723	0.820623
SalVenAttnA_SPL_3_L	0.712871	0.750932	0.386139	0.825965	0.821782	0.954918
SalVenAttnB_IFG_1_L	0.554455	0.743336	0.990099	0.99258	0.930693	0.954918
SalVenAttnB_IFG_1_R	0.138614	0.743336	0.19802	0.803157	0.336634	0.948264
