roi_name	Foreperiod_Long_tau_p_raw	Foreperiod_Long_tau_p_fdr	GoNoGo_tau_p_raw	GoNoGo_tau_p_fdr	SATO_Accuracy_tau_p_raw	SATO_Accuracy_tau_p_fdr
Aud_Ins_1_L	0.663366	0.775534	0.039604	0.153802	0.990099	0.99258
Aud_Ins_1_R	0.80198	0.812132	0.108911	0.382143	0.237624	0.99258
Aud_ParOcc_1_L	0.445545	0.775534	0.267327	0.614179	0.920792	0.99258
Aud_ParOcc_1_R	0.673267	0.775534	0.029703	0.132013	0.089109	0.780078
Aud_ParOper_1_R	0.693069	0.775534	0.029703	0.132013	0.108911	0.780078
Aud_ST_1_L	0.554455	0.775534	0.009901	0.101549	0.930693	0.99258
Aud_ST_1_R	0.693069	0.775534	0.039604	0.153802	0.079208	0.780078
Aud_ST_2_L	0.465347	0.775534	0.267327	0.614179	0.70297	0.99258
Aud_ST_2_R	0.683168	0.775534	0.534653	0.720072	0.148515	0.802783
Aud_ST_3_L	0.435644	0.775534	0.267327	0.614179	0.693069	0.99258
Aud_ST_3_R	0.673267	0.775534	0.465347	0.716086	0.09901	0.780078
Aud_ST_4_L	0.50495	0.775534	0.356436	0.691772	0.940594	0.99258
Aud_ST_4_R	0.693069	0.775534	0.029703	0.132013	0.108911	0.780078
Aud_ST_5_L	0.465347	0.775534	0.277228	0.614179	0.693069	0.99258
Aud_ST_5_R	0.673267	0.775534	0.49505	0.718791	0.108911	0.780078
Aud_ST_6_L	0.455446	0.775534	0.267327	0.614179	0.693069	0.99258
Aud_ST_7_L	0.425743	0.775534	0.257426	0.614179	0.712871	0.99258
Aud_TempPole_1_L	0.49505	0.775534	0.544554	0.721264	0.940594	0.99258
Aud_Temp_1_R	0.643564	0.775534	0.009901	0.101549	0.108911	0.780078
ContA_Cingm_1_L	0.712871	0.775534	0.049505	0.185065	0.990099	0.99258
ContA_Cingm_1_R	0.831683	0.831683	0.09901	0.353607	0.445545	0.99258
ContA_IPS_1_L	0.564356	0.775534	0.376238	0.691772	0.940594	0.99258
ContA_IPS_1_R	0.683168	0.775534	0.544554	0.721264	0.118812	0.780078
ContA_IPS_2_L	0.49505	0.775534	0.336634	0.690531	0.762376	0.99258
ContA_IPS_2_R	0.653465	0.775534	0.475248	0.716086	0.108911	0.780078
ContA_IPS_3_L	0.544554	0.775534	0.366337	0.691772	0.930693	0.99258
ContA_IPS_3_R	0.653465	0.775534	0.019802	0.123762	0.128713	0.780078
ContA_IPS_4_R	0.633663	0.775534	0.316832	0.663522	0.118812	0.780078
