roi_name	Foreperiod_Long_tau_p_raw	Foreperiod_Long_tau_p_fdr	GoNoGo_tau_p_raw	GoNoGo_tau_p_fdr	SATO_Accuracy_tau_p_raw	SATO_Accuracy_tau_p_fdr
ContA_Ins_1_L	0.544554	0.775534	0.613861	0.784487	0.960396	0.99258
ContA_OFC_1_L	0.49505	0.775534	0.019802	0.123762	0.950495	0.99258
ContA_OFC_1_R	0.643564	0.775534	0.50495	0.718791	0.990099	0.99258
ContA_PFCd_1_L	0.663366	0.775534	0.891089	0.925419	0.970297	0.99258
ContA_PFCd_1_R	0.29703	0.775534	0.188119	0.538829	0.514851	0.99258
ContA_PFCl_1_L	0.623762	0.775534	0.910891	0.925419	0.950495	0.99258
ContA_PFCl_1_R	0.29703	0.775534	0.207921	0.554455	0.594059	0.99258
ContA_PFCl_2_L	0.623762	0.775534	0.910891	0.925419	0.960396	0.99258
ContA_PFCl_2_R	0.277228	0.775534	0.19802	0.538829	0.594059	0.99258
ContA_PFCl_3_L	0.633663	0.775534	0.910891	0.925419	0.960396	0.99258
ContA_PFCl_3_R	0.247525	0.775534	0.19802	0.538829	0.564356	0.99258
ContA_PFCl_4_L	0.663366	0.775534	0.910891	0.925419	0.970297	0.99258
ContA_PFCmp_1_R	0.742574	0.775534	0.039604	0.153802	0.980198	0.99258
ContA_SPL_1_R	0.584158	0.775534	0.524752	0.720072	0.891089	0.99258
ContA_Temp_1_L	0.465347	0.775534	0.287129	0.614179	0.70297	0.99258
ContA_Temp_1_R	0.683168	0.775534	0.029703	0.132013	0.069307	0.780078
ContB_FPole_1_L	0.663366	0.775534	0.831683	0.925419	0.960396	0.99258
ContB_FPole_1_R	0.257426	0.775534	0.108911	0.382143	0.485149	0.99258
ContB_IFG_1_R	0.257426	0.775534	0.19802	0.538829	0.564356	0.99258
ContB_IPL_1_L	0.465347	0.775534	0.287129	0.614179	0.70297	0.99258
ContB_IPL_1_R	0.623762	0.775534	0.485149	0.716086	0.09901	0.780078
ContB_IPL_2_L	0.445545	0.775534	0.277228	0.614179	0.732673	0.99258
ContB_IPL_2_R	0.653465	0.775534	0.019802	0.123762	0.089109	0.780078
ContB_IPS_1_L	0.485149	0.775534	0.29703	0.631978	0.732673	0.99258
ContB_IPS_1_R	0.643564	0.775534	0.009901	0.101549	0.089109	0.780078
ContB_OFC_1_L	0.712871	0.775534	0.920792	0.925419	0.970297	0.99258
ContB_OFC_1_R	0.207921	0.775534	0.188119	0.538829	0.554455	0.99258
ContB_OFC_2_L	0.663366	0.775534	0.782178	0.925419	0.960396	0.99258
ContB_OFC_2_R	0.584158	0.775534	0.009901	0.101549	0.128713	0.780078
ContB_OFC_3_L	0.584158	0.775534	0.80198	0.925419	0.960396	0.99258
ContB_OFC_3_R	0.475248	0.775534	0.782178	0.925419	0.980198	0.99258
ContB_PCC_1_L	0.534653	0.775534	0.80198	0.925419	0.950495	0.99258
ContB_PCC_1_R	0.623762	0.775534	0.554455	0.727155	0.841584	0.99258
ContB_PFCd_1_L	0.643564	0.775534	0.90099	0.925419	0.980198	0.99258
ContB_PFCd_1_R	0.29703	0.775534	0.19802	0.538829	0.594059	0.99258
ContB_PFCl_2_R	0.29703	0.775534	0.207921	0.554455	0.613861	0.99258
ContB_PFCmp_1_L	0.683168	0.775534	0.920792	0.925419	0.990099	0.99258
ContB_PFCmp_1_R	0.752475	0.777752	0.039604	0.153802	0.980198	0.99258
ContB_Temp_1_L	0.475248	0.775534	0.267327	0.614179	0.693069	0.99258
ContB_Temp_1_R	0.663366	0.775534	0.029703	0.132013	0.069307	0.780078
ContB_Temp_2_L	0.465347	0.775534	0.287129	0.614179	0.70297	0.99258
ContC_Cingp_1_L	0.613861	0.775534	0.792079	0.925419	0.861386	0.99258
ContC_Cingp_1_R	0.752475	0.777752	0.069307	0.252025	0.990099	0.99258
ContC_Cingp_2_L	0.732673	0.775534	0.049505	0.185065	0.980198	0.99258
ContC_Cingp_2_R	0.613861	0.775534	0.009901	0.101549	0.841584	0.99258
ContC_FPole_1_L	0.663366	0.775534	0.861386	0.925419	0.960396	0.99258
ContC_IPL_1_R	0.633663	0.775534	0.50495	0.718791	0.118812	0.780078
ContC_Ins_1_L	0.633663	0.775534	0.683168	0.862042	0.970297	0.99258
ContC_Ins_1_R	0.237624	0.775534	0.168317	0.534339	0.990099	0.99258
ContC_OFC_1_R	0.752475	0.777752	0.029703	0.132013	0.990099	0.99258
ContC_OFC_2_R	0.485149	0.775534	0.029703	0.132013	0.940594	0.99258
ContC_PCC_1_R	0.524752	0.775534	0.544554	0.721264	0.970297	0.99258
ContC_PFCl_1_R	0.306931	0.775534	0.19802	0.538829	0.594059	0.99258
ContC_PFCl_2_R	0.267327	0.775534	0.188119	0.538829	0.594059	0.99258
ContC_PFCl_3_R	0.128713	0.775534	0.059406	0.218003	0.990099	0.99258
ContC_PFCm_1_L	0.60396	0.775534	0.821782	0.925419	0.970297	0.99258
ContC_PFCm_1_R	0.742574	0.775534	0.039604	0.153802	0.970297	0.99258
ContC_PFCm_2_L	0.623762	0.775534	0.782178	0.925419	0.970297	0.99258
ContC_PFCm_2_R	0.70297	0.775534	0.029703	0.132013	0.980198	0.99258
ContC_PFCm_3_R	0.693069	0.775534	0.039604	0.153802	0.970297	0.99258
ContC_PHC_1_L	0.643564	0.775534	0.772277	0.925419	0.851485	0.99258
ContC_pCun_1_L	0.643564	0.775534	0.019802	0.123762	0.980198	0.99258
ContC_pCun_1_R	0.554455	0.775534	0.287129	0.614179	0.871287	0.99258
ContC_pCun_2_L	0.643564	0.775534	0.019802	0.123762	0.980198	0.99258
DefaultA_FPole_1_L	0.663366	0.775534	0.861386	0.925419	0.960396	0.99258
DefaultA_IPL_1_L	0.485149	0.775534	0.277228	0.614179	0.712871	0.99258
DefaultA_IPL_1_R	0.643564	0.775534	0.009901	0.101549	0.09901	0.780078
DefaultA_IPL_2_L	0.455446	0.775534	0.267327	0.614179	0.693069	0.99258
DefaultA_PCC_1_L	0.653465	0.775534	0.821782	0.925419	0.960396	0.99258
DefaultA_PCC_1_R	0.613861	0.775534	0.752475	0.925419	0.950495	0.99258
DefaultA_PFCd_1_L	0.673267	0.775534	0.920792	0.925419	0.980198	0.99258
DefaultA_PFCd_1_R	0.29703	0.775534	0.19802	0.538829	0.574257	0.99258
DefaultA_PFCm_1_L	0.643564	0.775534	0.80198	0.925419	0.960396	0.99258
DefaultA_PFCm_1_R	0.673267	0.775534	0.039604	0.153802	0.960396	0.99258
DefaultA_PFCm_2_L	0.613861	0.775534	0.782178	0.925419	0.891089	0.99258
DefaultA_PFCm_2_R	0.673267	0.775534	0.039604	0.153802	0.970297	0.99258
DefaultA_PFCm_3_L	0.584158	0.775534	0.80198	0.925419	0.970297	0.99258
DefaultA_PFCm_3_R	0.663366	0.775534	0.019802	0.123762	0.960396	0.99258
DefaultA_PFCm_4_L	0.514851	0.775534	0.009901	0.101549	0.950495	0.99258
DefaultA_PFCm_4_R	0.415842	0.775534	0.49505	0.718791	0.960396	0.99258
DefaultA_PHC_1_L	0.732673	0.775534	0.029703	0.132013	0.990099	0.99258
DefaultA_PHC_1_R	0.673267	0.775534	0.584158	0.748921	0.178218	0.891089
DefaultA_TempPole_1_L	0.39604	0.775534	0.009901	0.101549	0.960396	0.99258
DefaultA_TempPole_1_R	0.633663	0.775534	0.445545	0.715734	0.108911	0.780078
DefaultA_TempPole_2_R	0.485149	0.775534	0.019802	0.123762	0.950495	0.99258
DefaultA_Temp_1_L	0.455446	0.775534	0.277228	0.614179	0.732673	0.99258
DefaultA_Temp_1_R	0.643564	0.775534	0.435644	0.71417	0.079208	0.780078
DefaultA_Temp_2_L	0.435644	0.775534	0.277228	0.614179	0.732673	0.99258
DefaultA_Temp_2_R	0.683168	0.775534	0.465347	0.716086	0.128713	0.780078
DefaultA_Temp_3_R	0.693069	0.775534	0.049505	0.185065	0.069307	0.780078
DefaultA_pCun_1_L	0.633663	0.775534	0.821782	0.925419	0.950495	0.99258
DefaultA_pCun_1_R	0.594059	0.775534	0.554455	0.727155	0.821782	0.99258
DefaultB_FPole_1_L	0.693069	0.775534	0.861386	0.925419	0.960396	0.99258
DefaultB_FPole_1_R	0.673267	0.775534	0.019802	0.123762	0.970297	0.99258
DefaultB_IPL_1_L	0.455446	0.775534	0.267327	0.614179	0.732673	0.99258
DefaultB_IPL_1_R	0.633663	0.775534	0.485149	0.716086	0.108911	0.780078
DefaultB_IPL_2_L	0.475248	0.775534	0.267327	0.614179	0.693069	0.99258
DefaultB_PCC_1_L	0.534653	0.775534	0.574257	0.738595	0.960396	0.99258
DefaultB_PCC_2_L	0.633663	0.775534	0.821782	0.925419	0.960396	0.99258
DefaultB_PFCd_1_L	0.732673	0.775534	0.930693	0.930693	0.980198	0.99258
DefaultB_PFCd_1_R	0.267327	0.775534	0.138614	0.477979	1.0	1.0
DefaultB_PFCd_2_L	0.683168	0.775534	0.920792	0.925419	0.990099	0.99258
DefaultB_PFCd_2_R	0.742574	0.775534	0.039604	0.153802	0.980198	0.99258
DefaultB_PFCd_3_L	0.663366	0.775534	0.920792	0.925419	0.990099	0.99258
DefaultB_PFCd_3_R	0.673267	0.775534	0.039604	0.153802	0.970297	0.99258
DefaultB_PFCd_4_L	0.643564	0.775534	0.851485	0.925419	0.980198	0.99258
DefaultB_PFCd_4_R	0.673267	0.775534	0.039604	0.153802	0.970297	0.99258
DefaultB_PFCl_1_L	0.663366	0.775534	0.910891	0.925419	0.960396	0.99258
DefaultB_PFCv_1_L	0.49505	0.775534	0.019802	0.123762	0.950495	0.99258
DefaultB_PFCv_1_R	0.693069	0.775534	0.524752	0.720072	0.089109	0.780078
DefaultB_PFCv_2_L	0.445545	0.775534	0.019802	0.123762	0.930693	0.99258
DefaultB_TempPole_1_L	0.475248	0.775534	0.277228	0.614179	0.742574	0.99258
DefaultB_TempPole_1_R	0.653465	0.775534	0.445545	0.715734	0.089109	0.780078
DefaultB_TempPole_2_L	0.465347	0.775534	0.287129	0.614179	0.732673	0.99258
DefaultB_Temp_1_L	0.475248	0.775534	0.267327	0.614179	0.693069	0.99258
DefaultB_Temp_1_R	0.70297	0.775534	0.029703	0.132013	0.089109	0.780078
DefaultB_Temp_2_L	0.465347	0.775534	0.277228	0.614179	0.712871	0.99258
DefaultB_Temp_2_R	0.683168	0.775534	0.029703	0.132013	0.069307	0.780078
DefaultB_pCun_1_R	0.613861	0.775534	0.534653	0.720072	0.821782	0.99258
DefaultC_IPL_1_L	0.445545	0.775534	0.267327	0.614179	0.752475	0.99258
DefaultC_IPL_1_R	0.623762	0.775534	0.524752	0.720072	0.108911	0.780078
DefaultC_IPL_2_R	0.653465	0.775534	0.019802	0.123762	0.089109	0.780078
DefaultC_IPL_3_R	0.653465	0.775534	0.009901	0.101549	0.108911	0.780078
DefaultC_PFCd_1_L	0.683168	0.775534	0.910891	0.925419	0.980198	0.99258
DefaultC_PFCd_1_R	0.316832	0.775534	0.148515	0.490958	0.524752	0.99258
DefaultC_PFCd_2_L	0.643564	0.775534	0.910891	0.925419	0.980198	0.99258
DefaultC_PHC_1_L	0.712871	0.775534	0.009901	0.101549	0.990099	0.99258
DefaultC_PHC_1_R	0.70297	0.775534	0.39604	0.691772	0.118812	0.780078
DefaultC_PHC_2_L	0.514851	0.775534	0.019802	0.123762	0.950495	0.99258
DefaultC_PHC_2_R	0.594059	0.775534	0.465347	0.716086	0.128713	0.780078
DefaultC_RSC_1_L	0.663366	0.775534	0.821782	0.925419	0.960396	0.99258
DefaultC_RSC_1_R	0.60396	0.775534	0.386139	0.691772	0.841584	0.99258
DefaultC_RSC_2_L	0.584158	0.775534	0.80198	0.925419	0.970297	0.99258
DefaultC_RSC_2_R	0.613861	0.775534	0.574257	0.738595	0.831683	0.99258
DefaultC_RSC_3_L	0.613861	0.775534	0.821782	0.925419	0.881188	0.99258
DefaultC_RSC_3_R	0.60396	0.775534	0.544554	0.721264	0.831683	0.99258
DefaultC_pCun_1_L	0.623762	0.775534	0.009901	0.101549	0.148515	0.802783
DefaultC_pCun_1_R	0.643564	0.775534	0.465347	0.716086	0.861386	0.99258
DefaultC_pCun_2_L	0.564356	0.775534	0.811881	0.925419	0.960396	0.99258
DefaultC_pCun_2_R	0.70297	0.775534	0.435644	0.71417	0.851485	0.99258
DefaultC_pCun_3_L	0.633663	0.775534	0.811881	0.925419	0.970297	0.99258
DorsAttnA_IPL_1_L	0.485149	0.775534	0.029703	0.132013	0.940594	0.99258
DorsAttnA_IPL_2_L	0.554455	0.775534	0.029703	0.132013	0.940594	0.99258
DorsAttnA_IPS_1_L	0.574257	0.775534	0.009901	0.101549	0.980198	0.99258
DorsAttnA_IPS_1_R	0.653465	0.775534	0.514851	0.720072	0.128713	0.780078
DorsAttnA_IPS_2_L	0.524752	0.775534	0.475248	0.716086	0.960396	0.99258
DorsAttnA_IPS_2_R	0.653465	0.775534	0.49505	0.718791	0.118812	0.780078
DorsAttnA_IPS_3_L	0.455446	0.775534	0.524752	0.720072	0.960396	0.99258
DorsAttnA_IPS_4_L	0.445545	0.775534	0.019802	0.123762	0.910891	0.99258
DorsAttnA_PFCd_1_L	0.70297	0.775534	0.891089	0.925419	0.980198	0.99258
DorsAttnA_PrCd_1_L	0.643564	0.775534	0.851485	0.925419	0.980198	0.99258
DorsAttnA_PrCd_1_R	0.267327	0.775534	0.158416	0.511019	0.475248	0.99258
DorsAttnA_PrCv_1_L	0.60396	0.775534	0.90099	0.925419	0.950495	0.99258
DorsAttnA_PrCv_1_R	0.237624	0.775534	0.168317	0.534339	0.554455	0.99258
DorsAttnA_SPL_1_L	0.544554	0.775534	0.009901	0.101549	0.970297	0.99258
DorsAttnA_SPL_1_R	0.70297	0.775534	0.336634	0.690531	0.90099	0.99258
DorsAttnA_SPL_2_L	0.554455	0.775534	0.009901	0.101549	0.980198	0.99258
DorsAttnA_SPL_2_R	0.663366	0.775534	0.316832	0.663522	0.891089	0.99258
DorsAttnA_SPL_3_R	0.633663	0.775534	0.534653	0.720072	0.881188	0.99258
DorsAttnA_SPL_4_R	0.534653	0.775534	0.514851	0.720072	0.861386	0.99258
DorsAttnA_TempOcc_1_L	0.455446	0.775534	0.277228	0.614179	0.70297	0.99258
DorsAttnA_TempOcc_1_R	0.673267	0.775534	0.029703	0.132013	0.079208	0.780078
DorsAttnA_TempOcc_2_L	0.455446	0.775534	0.277228	0.614179	0.712871	0.99258
DorsAttnA_TempOcc_2_R	0.673267	0.775534	0.029703	0.132013	0.079208	0.780078
DorsAttnA_TempOcc_3_L	0.445545	0.775534	0.277228	0.614179	0.70297	0.99258
DorsAttnA_TempPole_1_L	0.435644	0.775534	0.029703	0.132013	0.940594	0.99258
DorsAttnA_TempPole_1_R	0.534653	0.775534	0.49505	0.718791	0.960396	0.99258
DorsAttnA_TempPole_2_L	0.465347	0.775534	0.009901	0.101549	0.960396	0.99258
DorsAttnB_FrMed_1_L	0.584158	0.775534	0.841584	0.925419	0.980198	0.99258
DorsAttnB_IPL_1_R	0.633663	0.775534	0.445545	0.715734	0.108911	0.780078
DorsAttnB_IPL_2_R	0.683168	0.775534	0.376238	0.691772	0.118812	0.780078
DorsAttnB_ParOper_1_L	0.475248	0.775534	0.475248	0.716086	0.950495	0.99258
DorsAttnB_PostC_1_L	0.514851	0.775534	0.029703	0.132013	0.960396	0.99258
DorsAttnB_PostC_1_R	0.623762	0.775534	0.386139	0.691772	0.108911	0.780078
DorsAttnB_PostC_2_L	0.554455	0.775534	0.514851	0.720072	0.950495	0.99258
DorsAttnB_PostC_2_R	0.722772	0.775534	0.574257	0.738595	0.158416	0.822939
DorsAttnB_PostC_3_L	0.524752	0.775534	0.39604	0.691772	0.910891	0.99258
DorsAttnB_PostC_3_R	0.673267	0.775534	0.376238	0.691772	0.158416	0.822939
DorsAttnB_PrCd_1_L	0.623762	0.775534	0.841584	0.925419	0.980198	0.99258
DorsAttnB_PrCd_1_R	0.792079	0.806187	0.841584	0.925419	0.930693	0.99258
DorsAttnB_PrCd_2_L	0.623762	0.775534	0.851485	0.925419	0.980198	0.99258
DorsAttnB_PrCd_2_R	0.811881	0.815961	0.841584	0.925419	0.940594	0.99258
DorsAttnB_PrCd_3_R	0.792079	0.806187	0.841584	0.925419	0.950495	0.99258
DorsAttnB_PrCv_1_L	0.564356	0.775534	0.841584	0.925419	0.970297	0.99258
DorsAttnB_PrCv_1_R	0.227723	0.775534	0.148515	0.490958	0.475248	0.99258
DorsAttnB_SPL_1_L	0.514851	0.775534	0.029703	0.132013	0.960396	0.99258
DorsAttnB_SPL_1_R	0.742574	0.775534	0.336634	0.690531	0.178218	0.891089
DorsAttnB_SPL_2_L	0.633663	0.775534	0.009901	0.101549	0.960396	0.99258
DorsAttnB_SPL_2_R	0.742574	0.775534	0.356436	0.691772	0.90099	0.99258
DorsAttnB_SPL_3_L	0.633663	0.775534	0.009901	0.101549	0.970297	0.99258
DorsAttnB_SPL_3_R	0.633663	0.775534	0.346535	0.691772	0.871287	0.99258
DorsAttnB_SPL_4_L	0.554455	0.775534	0.009901	0.101549	0.960396	0.99258
Language_IFG_1_L	0.673267	0.775534	0.910891	0.925419	0.960396	0.99258
Language_IFG_1_R	0.227723	0.775534	0.188119	0.538829	0.990099	0.99258
Language_IFG_2_L	0.623762	0.775534	0.90099	0.925419	0.950495	0.99258
Language_IPL_1_L	0.485149	0.775534	0.267327	0.614179	0.712871	0.99258
Language_PFCd_1_L	0.70297	0.775534	0.910891	0.925419	0.980198	0.99258
Language_PFCd_1_R	0.287129	0.775534	0.148515	0.490958	0.534653	0.99258
Language_PFCd_2_L	0.663366	0.775534	0.920792	0.925419	0.990099	0.99258
Language_PFCl_1_L	0.653465	0.775534	0.910891	0.925419	0.950495	0.99258
Language_PFCl_1_R	0.326733	0.775534	0.19802	0.538829	0.613861	0.99258
Language_PFCl_2_R	0.267327	0.775534	0.188119	0.538829	0.574257	0.99258
Language_TempPole_1_L	0.455446	0.775534	0.277228	0.614179	0.712871	0.99258
Language_TempPole_1_R	0.693069	0.775534	0.039604	0.153802	0.069307	0.780078
Language_TempPole_2_R	0.683168	0.775534	0.475248	0.716086	0.108911	0.780078
Language_Temp_1_L	0.465347	0.775534	0.267327	0.614179	0.693069	0.99258
Language_Temp_1_R	0.663366	0.775534	0.029703	0.132013	0.09901	0.780078
Language_Temp_2_L	0.445545	0.775534	0.257426	0.614179	0.693069	0.99258
Language_Temp_2_R	0.673267	0.775534	0.455446	0.716086	0.09901	0.780078
Language_Temp_3_L	0.465347	0.775534	0.386139	0.691772	0.940594	0.99258
SalVenAttnA_FrMed_1_L	0.663366	0.775534	0.920792	0.925419	0.980198	0.99258
SalVenAttnA_FrMed_1_R	0.811881	0.815961	0.841584	0.925419	0.960396	0.99258
SalVenAttnA_FrMed_2_L	0.633663	0.775534	0.90099	0.925419	0.980198	0.99258
SalVenAttnA_FrMed_2_R	0.792079	0.806187	0.09901	0.353607	0.990099	0.99258
SalVenAttnA_FrMed_3_R	0.762376	0.781924	0.059406	0.218003	0.980198	0.99258
SalVenAttnA_FrOper_1_L	0.613861	0.775534	0.910891	0.925419	0.950495	0.99258
SalVenAttnA_FrOper_1_R	0.178218	0.775534	0.148515	0.490958	0.316832	0.99258
SalVenAttnA_FrOper_2_R	0.247525	0.775534	0.188119	0.538829	0.524752	0.99258
SalVenAttnA_IPL_1_L	0.425743	0.775534	0.287129	0.614179	0.693069	0.99258
SalVenAttnA_IPL_1_R	0.663366	0.775534	0.50495	0.718791	0.128713	0.780078
SalVenAttnA_IPL_2_R	0.643564	0.775534	0.534653	0.720072	0.118812	0.780078
SalVenAttnA_Ins_1_L	0.643564	0.775534	0.910891	0.925419	0.970297	0.99258
SalVenAttnA_Ins_1_R	0.257426	0.775534	0.19802	0.538829	0.60396	0.99258
SalVenAttnA_Ins_2_L	0.752475	0.777752	0.009901	0.101549	0.990099	0.99258
SalVenAttnA_Ins_2_R	0.247525	0.775534	0.19802	0.538829	0.594059	0.99258
SalVenAttnA_Ins_3_L	0.762376	0.781924	0.029703	0.132013	0.990099	0.99258
SalVenAttnA_Ins_3_R	0.693069	0.775534	0.485149	0.716086	0.128713	0.780078
SalVenAttnA_PFCd_1_L	0.613861	0.775534	0.861386	0.925419	0.980198	0.99258
SalVenAttnA_PFCmp_1_R	0.712871	0.775534	0.039604	0.153802	0.980198	0.99258
SalVenAttnA_SPL_1_L	0.70297	0.775534	0.019802	0.123762	0.990099	0.99258
SalVenAttnA_SPL_1_R	0.712871	0.775534	0.009901	0.101549	0.90099	0.99258
SalVenAttnA_SPL_2_L	0.564356	0.775534	0.009901	0.101549	0.960396	0.99258
SalVenAttnA_SPL_2_R	0.693069	0.775534	0.366337	0.691772	0.891089	0.99258
SalVenAttnA_SPL_3_L	0.594059	0.775534	0.009901	0.101549	0.970297	0.99258
SalVenAttnB_IFG_1_L	0.663366	0.775534	0.910891	0.925419	0.950495	0.99258
SalVenAttnB_IFG_1_R	0.287129	0.775534	0.188119	0.538829	0.584158	0.99258
SalVenAttnB_IPL_1_L	0.554455	0.775534	0.019802	0.123762	0.940594	0.99258
SalVenAttnB_IPL_1_R	0.653465	0.775534	0.475248	0.716086	0.118812	0.780078
SalVenAttnB_IPL_2_L	0.524752	0.775534	0.386139	0.691772	0.841584	0.99258
SalVenAttnB_IPL_2_R	0.633663	0.775534	0.485149	0.716086	0.108911	0.780078
SalVenAttnB_IPL_3_R	0.653465	0.775534	0.009901	0.101549	0.09901	0.780078
SalVenAttnB_Ins_1_L	0.623762	0.775534	0.910891	0.925419	0.950495	0.99258
SalVenAttnB_Ins_1_R	0.257426	0.775534	0.207921	0.554455	0.60396	0.99258
SalVenAttnB_Ins_2_L	0.643564	0.775534	0.910891	0.925419	0.960396	0.99258
SalVenAttnB_Ins_2_R	0.227723	0.775534	0.178218	0.538829	0.584158	0.99258
SalVenAttnB_Ins_3_R	0.722772	0.775534	0.554455	0.727155	0.178218	0.891089
SalVenAttnB_OFC_1_L	0.544554	0.775534	0.534653	0.720072	0.950495	0.99258
SalVenAttnB_OFC_1_R	0.693069	0.775534	0.50495	0.718791	0.089109	0.780078
SalVenAttnB_OFC_2_L	0.514851	0.775534	0.534653	0.720072	0.950495	0.99258
SalVenAttnB_PFCd_1_R	0.821782	0.823842	0.841584	0.925419	0.960396	0.99258
SalVenAttnB_PFCl_1_L	0.712871	0.775534	0.930693	0.930693	0.980198	0.99258
SalVenAttnB_PFCl_1_R	0.237624	0.775534	0.178218	0.538829	0.455446	0.99258
SalVenAttnB_PFCl_2_L	0.653465	0.775534	0.920792	0.925419	0.980198	0.99258
SalVenAttnB_PFCl_2_R	0.287129	0.775534	0.158416	0.511019	0.554455	0.99258
SalVenAttnB_PFCl_3_L	0.623762	0.775534	0.910891	0.925419	0.960396	0.99258
SalVenAttnB_PFCl_3_R	0.207921	0.775534	0.19802	0.538829	0.574257	0.99258
SalVenAttnB_PFCmp_1_L	0.60396	0.775534	0.841584	0.925419	0.980198	0.99258
SalVenAttnB_SPL_1_L	0.60396	0.775534	0.019802	0.123762	0.980198	0.99258
SalVenAttnB_SPL_1_R	0.722772	0.775534	0.376238	0.691772	0.970297	0.99258
SalVenAttnB_Temp_1_L	0.455446	0.775534	0.267327	0.614179	0.70297	0.99258
SalVenAttnB_Temp_1_R	0.663366	0.775534	0.029703	0.132013	0.089109	0.780078
SalVenAttnB_Temp_2_R	0.653465	0.775534	0.029703	0.132013	0.069307	0.780078
SomMotA_10_L	0.60396	0.775534	0.009901	0.101549	0.970297	0.99258
SomMotA_10_R	0.722772	0.775534	0.722772	0.906298	0.871287	0.99258
SomMotA_11_L	0.60396	0.775534	0.009901	0.101549	0.970297	0.99258
SomMotA_11_R	0.693069	0.775534	0.653465	0.827171	0.871287	0.99258
SomMotA_12_L	0.584158	0.775534	0.811881	0.925419	0.980198	0.99258
SomMotA_12_R	0.811881	0.815961	0.851485	0.925419	0.940594	0.99258
SomMotA_1_L	0.594059	0.775534	0.009901	0.101549	0.970297	0.99258
SomMotA_1_R	0.712871	0.775534	0.772277	0.925419	0.90099	0.99258
SomMotA_2_L	0.623762	0.775534	0.841584	0.925419	0.980198	0.99258
SomMotA_2_R	0.742574	0.775534	0.821782	0.925419	0.950495	0.99258
SomMotA_3_L	0.594059	0.775534	0.009901	0.101549	0.930693	0.99258
SomMotA_3_R	0.643564	0.775534	0.386139	0.691772	0.138614	0.792079
SomMotA_4_L	0.564356	0.775534	0.356436	0.691772	0.732673	0.99258
SomMotA_4_R	0.594059	0.775534	0.435644	0.71417	0.188119	0.928982
SomMotA_5_L	0.524752	0.775534	0.405941	0.693916	0.960396	0.99258
SomMotA_5_R	0.673267	0.775534	0.346535	0.691772	0.871287	0.99258
SomMotA_6_L	0.633663	0.775534	0.009901	0.101549	0.960396	0.99258
SomMotA_6_R	0.683168	0.775534	0.336634	0.690531	0.861386	0.99258
SomMotA_7_L	0.594059	0.775534	0.009901	0.101549	0.960396	0.99258
SomMotA_7_R	0.732673	0.775534	0.386139	0.691772	0.19802	0.942951
SomMotA_8_L	0.485149	0.775534	0.425743	0.709571	0.693069	0.99258
SomMotA_8_R	0.623762	0.775534	0.386139	0.691772	0.118812	0.780078
