x	y	location
-0.512529	-0.858670	Temporal_L
-0.497549	-0.867436	Temporal_L
-0.482420	-0.875940	Temporal_L
-0.467145	-0.884180	Temporal_L
-0.451730	-0.892155	Temporal_L
-0.436179	-0.899860	Temporal_L
-0.999661	0.026031	Insula_L
-0.948894	0.315594	Cingulate_L
-0.954229	0.299078	Cingulate_L
0.420496	-0.907294	Occipital_R
0.863135	-0.504974	Temporal_R
0.404687	-0.914455	Occipital_R
0.388756	-0.921341	Occipital_R
0.372707	-0.927949	Occipital_R
0.356547	-0.934278	Occipital_R
0.340279	-0.940325	Occipital_R
0.999962	0.008678	Parietal_R
0.999962	-0.008678	Parietal_R
0.017452	0.999848	Frontal_R
0.034802	0.999394	Frontal_R
0.052141	0.998640	Frontal_R
0.323908	-0.946089	Occipital_R
0.716285	0.697808	Cingulate_R
0.728287	0.685272	Cingulate_R
0.307440	-0.951567	Occipital_R
0.290879	-0.956760	Occipital_R
0.274231	-0.961664	Occipital_R
0.257500	-0.966278	Occipital_R
0.240692	-0.970602	Occipital_R
0.223811	-0.974633	Occipital_R
0.206862	-0.978370	Occipital_R
0.189852	-0.981813	Occipital_R
0.854241	-0.519877	Temporal_R
0.871768	-0.489918	Temporo-Parietal_R
0.069465	0.997584	Frontal_R
0.740071	0.672529	Cingulate_R
0.845090	-0.534624	Temporal_R
0.999661	-0.026031	Parietal_R
0.751631	0.659584	Cingulate_R
0.762965	0.646440	Cingulate_R
0.774069	0.633102	Cingulate_R
0.784940	0.619572	Cingulate_R
0.795574	0.605857	Cingulate_R
0.805969	0.591958	Cingulate_R
0.999059	-0.043376	Parietal_R
0.998156	-0.060708	Parietal_R
0.996952	-0.078022	Parietal_R
0.995447	-0.095312	Parietal_R
0.816121	0.577881	Cingulate_R
0.826027	0.563631	Cingulate_R
0.993643	-0.112573	Parietal_R
0.086767	0.996229	Frontal_R
0.104044	0.994573	Frontal_R
0.991540	-0.129801	Parietal_R
0.989138	-0.146990	Parietal_R
0.986438	-0.164134	Parietal_R
0.983441	-0.181229	Parietal_R
0.980148	-0.198269	Parietal_R
0.976559	-0.215250	Parietal_R
0.972676	-0.232165	Parietal_R
0.968501	-0.249011	Parietal_R
0.964033	-0.265782	Parietal_R
0.121289	0.992617	Frontal_R
0.138497	0.990363	Frontal_R
0.155664	0.987810	Frontal_R
0.835684	0.549210	Cingulate_R
0.845090	0.534624	Cingulate_R
0.854241	0.519877	Cingulate_R
0.863135	0.504974	Cingulate_R
0.871768	0.489918	Cingulate_R
0.880140	0.474715	Cingulate_R
0.172784	0.984960	Frontal_R
0.888246	0.459369	Cingulate_R
0.189852	0.981813	Frontal_R
0.206862	0.978370	Frontal_R
0.223811	0.974633	Frontal_R
0.240692	0.970602	Frontal_R
0.257500	0.966278	Frontal_R
0.274231	0.961664	Frontal_R
0.290879	0.956760	Frontal_R
0.307440	0.951567	Frontal_R
0.323908	0.946089	Frontal_R
0.340279	0.940325	Frontal_R
0.356547	0.934278	Frontal_R
0.372707	0.927949	Frontal_R
