-1.596564600448095916e+01,6.698020911127707677e+01,8.571695294996260372e+00
-4.130528981429375079e+01,-7.200590883511536333e+01,4.336128306133933563e+01
-4.723423180592991599e+01,-6.339299191374663422e+01,3.137331536388140307e+01
-4.592207792207787520e+00,-5.330714285714286405e+01,2.022077922077922096e+01
-1.838504936530324585e+01,3.591443347437706279e+01,4.808133521391631859e+01
-6.648215209518880897e+00,5.927935851008794543e+01,6.527677185721671549e+00
-5.118978102189785773e+00,5.499854014598540175e+01,-1.020145985401460109e+01
-6.114592153542190545e+00,3.493959920970928579e+01,-8.853513971210837497e+00
-4.340246045694200916e+00,2.318734622144111768e+01,-1.908963093145870005e+01
-2.083622350674373536e+01,-2.077842003853564279e+01,-2.572447013487475687e+01
-5.699878817256422536e+01,-8.840281143965100341e+00,-1.402496364517692484e+01
-4.007614213197969377e+01,-2.154473350253806530e+01,-2.675666243654822551e+01
-3.169310141509433976e+01,1.155336084905661664e+01,-2.931132075471698073e+01
-6.034995977473855078e+00,-5.973129525341914814e+01,2.993242156074013849e+01
-1.526903278244378726e+01,6.455269574641019403e+01,-8.260633974532645141e+00
-5.668653276259466622e+01,-5.454659203161014602e+01,2.970530128416200455e+01
-4.575811337083513308e+01,-5.879489398528775723e+01,2.106533967979230226e+01
-3.291634089132131180e+00,-1.565363565285379366e+01,3.717982799061766741e+01
-7.931273308470963457e+00,-4.442141715503463217e+01,3.221630261054875177e+01
-1.240993184031158592e+01,2.411652061019148618e+01,6.103862382343393733e+01
-8.046900269541779949e+00,4.298652291105122458e+01,5.096927223719676192e+01
-1.391259298618490448e+01,5.741339001062698344e+01,3.096679064824654404e+01
-4.716108452950564356e+00,5.176749955697323458e+01,2.773241183767500218e+01
-4.126962378077102045e+01,1.893660009289362733e+01,4.767092429168602052e+01
-4.620297805642633193e+01,3.160423197492161762e+01,-1.036677115987460951e+01
-3.565991058122205715e+01,2.210849478390463219e+01,-1.544649776453054812e+01
